Threads,llamacpp:openchat-3.5-1210.Q4_K_M.gguf,openai:gpt-4
"The user manual was confusing, but once I figured it out, the product more or less worked.",'neutral','neutral'
"This widget changed my life! It's sleek, efficient, and worth every penny.",'positive','positive'
I'm disappointed with the product quality. It broke after just a week of use.,'negative','negative'
The customer service team was incredibly helpful in resolving my issue with the device.,'positive','positive'
I'm blown away by the functionality of this gadget. It exceeded my expectations.,'positive','positive'
"The packaging was damaged upon arrival, but the product itself works great.",'positive','neutral'
"I've been using this tool for months, and it's still as good as new. Highly recommended!",'positive','positive'
I regret purchasing this item. It doesn't perform as advertised.,'negative','negative'
I've never had so much trouble with a product before. It's been a headache from day one.,'negative','negative'
"I bought this as a gift for my friend, and they absolutely love it!",'positive','positive'
"The price seemed steep at first, but after using it, I understand why. Quality product.",'positive','positive'
This gizmo is a game-changer for my daily routine. Couldn't be happier with my purchase!,'positive','positive'
